1603874402.3758357,31,-151,101,79,76,81.57894736842107,-15.64653107388349
1603874402.3758357,32,-228,101,79,75,82.66666666666669,-22.923658715156016
1603874402.3758357,21,164,100,81,76,81.57894736842107,16.91942262152814
1603874402.3758357,27,-72,101,76,77,80.51948051948054,-7.606749474630248
1603874402.3758357,25,82,100,77,76,81.57894736842107,8.648222041878432
1603874402.3758357,20,241,98,83,77,80.51948051948054,24.08541352897193
1603874403.2141862,21,163,100,83,76,81.57894736842107,16.822099089140682
1603874403.2141862,31,-151,101,79,76,81.57894736842107,-15.64653107388349
1603874403.2141862,26,5,100,74,75,82.66666666666669,0.5313569149387267
1603874403.2141862,32,-228,101,80,75,82.66666666666669,-22.923658715156016
1603874403.2141862,27,-72,101,76,76,81.57894736842107,-7.606749474630248
1603874403.2141862,25,82,100,77,76,81.57894736842107,8.648222041878432
1603874403.2141862,20,241,98,83,77,80.51948051948054,24.08541352897193
1603874403.6926327,31,-151,101,79,75,82.66666666666669,-15.64653107388349
1603874403.6926327,26,5,100,74,75,82.66666666666669,0.5313569149387267
1603874403.6926327,20,241,98,83,77,80.51948051948054,24.08541352897193
1603874403.6926327,32,-228,101,79,75,82.66666666666669,-22.923658715156016
1603874403.6926327,21,164,100,81,76,81.57894736842107,16.91942262152814
1603874403.6926327,27,-72,101,76,76,81.57894736842107,-7.606749474630248
1603874403.6926327,25,82,100,77,75,82.66666666666669,8.648222041878432
1603874404.1769917,31,-151,101,79,75,82.66666666666669,-15.64653107388349
1603874404.1769917,26,5,100,74,75,82.66666666666669,0.5313569149387267
1603874404.1769917,32,-228,101,79,75,82.66666666666669,-22.923658715156016
1603874404.1769917,21,164,100,81,76,81.57894736842107,16.91942262152814
1603874404.1769917,27,-72,101,76,77,80.51948051948054,-7.606749474630248
1603874404.1769917,25,82,100,77,75,82.66666666666669,8.648222041878432
1603874404.1769917,20,242,98,84,77,80.51948051948054,24.17392734930822
1603874404.661029,21,164,100,81,76,81.57894736842107,16.91942262152814
